5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01 5.000000000000000000e+01
4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01 4.736842105263158942e+01
4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01 4.473684210526316463e+01
4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01 4.210526315789473983e+01
3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01 3.947368421052631504e+01
3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01 3.684210526315789025e+01
3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01 3.421052631578947967e+01
3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01 3.157894736842105488e+01
2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01 2.894736842105263008e+01
2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01 2.631578947368421950e+01
2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01 2.368421052631579471e+01
2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01 2.105263157894736992e+01
1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01 1.842105263157894512e+01
1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01 1.578947368421052033e+01
