65	80	64	64	0.125	0.125
79	80	64	64	0.125	0.125
65	81	66	66	0.125	0.125
79	82	115	115	0.125	0.125
66	84	65	65	0.125	0.125
66	85	67	67	0.125	0.125
67	88	66	66	0.125	0.125
67	89	68	68	0.125	0.125
68	92	67	67	0.125	0.125
68	93	69	69	0.125	0.125
69	96	68	68	0.125	0.125
69	97	70	70	0.125	0.125
70	100	69	69	0.125	0.125
70	101	71	71	0.125	0.125
71	104	70	70	0.125	0.125
71	105	72	72	0.125	0.125
108	105	72	72	0.125	0.125
108	107	144	144	0.125	0.125
115	116	79	79	0.125	0.125
115	118	151	151	0.125	0.125
144	141	108	108	0.125	0.125
144	143	180	180	0.125	0.125
151	152	115	115	0.125	0.125
151	154	187	187	0.125	0.125
180	177	144	144	0.125	0.125
180	179	216	216	0.125	0.125
187	188	151	151	0.125	0.125
187	190	223	223	0.125	0.125
216	213	180	180	0.125	0.125
216	215	252	252	0.125	0.125
223	224	187	187	0.125	0.125
223	226	259	259	0.125	0.125
252	249	216	216	0.125	0.125
252	251	288	288	0.125	0.125
259	260	223	223	0.125	0.125
259	262	295	295	0.125	0.125
288	285	252	252	0.125	0.125
288	287	324	324	0.125	0.125
295	296	259	259	0.125	0.125
295	298	331	331	0.125	0.125
324	321	288	288	0.125	0.125
324	323	360	360	0.125	0.125
331	332	295	295	0.125	0.125
331	334	367	367	0.125	0.125
360	357	324	324	0.125	0.125
360	359	396	396	0.125	0.125
367	368	331	331	0.125	0.125
367	370	403	403	0.125	0.125
396	393	360	360	0.125	0.125
396	395	432	432	0.125	0.125
403	404	367	367	0.125	0.125
440	406	439	439	0.125	0.125
403	406	439	439	0.125	0.125
440	407	441	441	0.125	0.125
441	410	440	440	0.125	0.125
441	411	442	442	0.125	0.125
442	414	441	441	0.125	0.125
442	415	443	443	0.125	0.125
443	418	442	442	0.125	0.125
443	419	444	444	0.125	0.125
444	422	443	443	0.125	0.125
444	423	445	445	0.125	0.125
445	426	444	444	0.125	0.125
445	427	446	446	0.125	0.125
432	429	396	396	0.125	0.125
446	430	445	445	0.125	0.125
432	431	447	447	0.125	0.125
446	431	447	447	0.125	0.125
