0 125 75 
0 125 125 75 
0 125 125 75 
0 125 125 75 
0 125 125 75 
0 125 125 75 
0 125 125 75 
0 125 125 75 
0 125 125 75 
0 125 125 75 
0 125 125 75 
0 125 125 75 
0 125 125 75 
0 125 125 75 
0 125 75 
0 75 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 75 
0 75 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 75 
0 75 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 75 
0 75 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 75 
0 75 125 125 75 75 
0 75 125 125 75 75 
0 75 125 125 75 75 
0 75 125 125 75 75 
0 75 125 125 75 75 
0 75 125 125 75 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 75 
0 75 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 125 75 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 75 125 125 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 75 
0 75 125 75 
0 75 125 125 75 
0 75 125 125 75 
0 75 125 125 125 75 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 62.5 37.5 
0 37.5 62.5 37.5 62.5 
0 62.5 37.5 62.5 37.5 
